1,a_friends_to_go_outside_with_the_family
2,a_tvmusmov_to_watch_a_science_fiction_movie
3,a_friends_to_have_non-work-related_appointments
4,a_outdoor_to_walk_in_the_nature
5,a_tvmusmov_to_watch_an_adventure_movie
6,a_tvmusmov_to_listen_to_music
7,a_friends_to_talk_to_my_friends
8,a_friends_to_talk_to_my_family
9,a_work_to_have_work-related_meetings
10,a_sport_to_do_some_stretching
11,a_outdoor_to_walk_my_dog
12,a_sport_to_go_to_the_gym
13,a_sport_to_have_a_walk
14,a_entert_to_paint
15,a_tvmusmov_to_watch_an_action_movie
16,a_work_to_read_a_scientific_article
17,a_tvmusmov_to_watch_tv
18,a_going_to_go_for_a_drink
19,a_entert_to_play_a_board_game
20,a_going_to_have_an_ice_cream_outside
21,a_athome_to_eat_sausage
22,a_work_to_make_a_plan_for_my_tasks
23,a_sport_to_exercise
24,a_individual_to_look_at_some_old_photos
25,a_individual_to_wake_up_late
26,a_athome_to_prepare_food_for_family
27,a_athome_to_do_the_laundry
28,a_work_to_work_from_home
29,a_going_to_travel_on_a_train
30,a_going_to_go_to_the_movies
31,a_outdoor_to_buy_the_groceries
