1,a_work_to_listen_to_light_music_while_working
2,a_outdoor_to_walk_in_the_sun
3,a_athome_to_drink_a_coffee/tea
4,a_tvmusmov_to_watch_Netflix
5,a_individual_to_read_a_comic_book
6,a_entert_to_play_videogames
7,a_outdoor_to_go_for_a_short_walk
8,a_outdoor_to_walk_my_dog
9,a_work_to_have_scientific_discussions
10,a_individual_to_watch_Netflix_alone
11,a_athome_to_eat_sausage
12,a_work_to_work_from_home
13,a_sport_to_go_to_the_swimming_pool
14,a_entert_to_play_a_board_game
15,a_tvmusmov_to_listen_to_music
16,a_entert_to_play_the_piano
17,a_sport_to_have_a_walk
18,a_work_to_work_on_a_scientific_article
19,a_work_to_work
20,a_individual_to_wake_up_late
21,a_athome_to_cook/bake
22,a_individual_to_stay_alone
23,a_athome_to_cook_a_regular_recipe
24,a_work_to_make_a_plan_for_my_tasks
25,a_outdoor_to_walk_in_the_nature
26,a_sport_to_go_cycling
27,a_friends_to_have_non-work-related_appointments
28,a_athome_to_try_a_new_recipe
29,a_work_to_study
30,a_entert_to_play_chess
31,a_outdoor_to_walk_long_distances
32,a_work_to_read_a_scientific_article
33,a_sport_to_exercise
34,a_work_to_work_late
35,a_tvmusmov_to_watch_a_movie_at_home
36,a_individual_to_read_a_book
