1,a_friends_to_talk_to_my_family
2,a_going_to_go_to_the_movies
3,a_friends_to_talk_to_my_friends
4,a_entert_to_play_the_piano
5,a_going_to_walk_in_the_city_center
6,a_going_to_go_for_a_drink
7,a_outdoor_to_go_for_a_short_walk
8,a_going_to_go_to_a_restaurant
9,a_athome_to_drink_a_coffee/tea
10,a_sport_to_exercise
11,a_work_to_work
12,a_friends_to_go_outside_with_the_family
13,a_work_to_work_from_home
14,a_work_to_have_work-related_meetings
15,a_work_to_listen_to_light_music_while_working
16,a_work_to_make_a_plan_for_my_tasks
17,a_going_to_have_an_ice_cream_outside
18,a_tvmusmov_to_watch_tv
19,a_outdoor_to_walk_in_the_sun
20,a_individual_to_read_a_book
21,a_work_to_work_from_the_office
22,a_outdoor_to_walk_in_the_nature
23,a_friends_to_spend_time_with_the_family
24,a_work_to_read_a_scientific_article
25,a_tvmusmov_to_listen_to_music
26,a_work_to_read/reply_to_my_emails
