1,a_groupa_to_listen_to_the_radio
2,a_groupc_to_do_some_yoga
3,a_grod_to_work_on_a_scientific_article
4,a_groupc_to_look_at_some_old_photos
5,a_grod_to_listen_to_an_audiobook
6,a_grof_to_have_scientific_discussions
7,a_grod_to_play_the_piano
8,a_grod_to_listen_to_light_music
9,a_groupb_to_prepare_food_for_family
10,a_groe_to_visit_friends
11,a_grod_to_watch_a_comedy_with_family
12,a_grod_to_walk_in_the_sun
13,a_groupc_to_water_the_plants
14,a_groe_to_wake_up_late
15,a_groe_to_watch_a_comedy
16,a_grod_to_spend_time_with_the_family
17,a_groupa_to_read_a_scientific_article
18,a_groupa_to_read_a_novel
19,a_groe_to_go_outside_with_the_family
20,a_groe_to_give_water_to_the_garden
21,a_grof_to_read_a_psychology_book
22,a_grof_to_have_a_short_walk_in_the_sun
23,a_grof_to_practice_a_foreign_language
24,a_groupb_to_talk_to_my_family
25,a_grod_to_try_a_new_recipe
26,a_groe_to_have_an_ice_cream_outside
27,a_grod_paint
28,a_groe_to_go_to_the_beach
29,a_groupb_to_play_chess
30,a_grod_to_read_a_book_about_psychology
31,a_groupb_to_do_jigsaw_puzzles
32,a_groe_to_watch_a_comedy_with_the_family
33,a_groe_to_walk_in_the_city_center
34,a_groe_to_go_for_shopping
35,a_grod_to_watch_a_movie_at_home
36,a_groe_to_sit_in_the_garden
37,a_grod_to_eat_warm_oatmeal
38,a_groe_to_read_a_book_on_psychology
39,a_groe_to_walk_in_the_nature
40,a_grof_to_have_a_short_talk_with_a_friend
41,a_groe_to_listen_to_old_music
42,a_grof_to_focus_on_delayed_tasks
43,a_groupb_to_drink_a_coffee/tea
44,a_grod_to_paint
45,a_groupc_to_have_a_walk
46,a_grod_to_travel_on_a_train
47,a_groupb_to_go_to_a_restaurant
48,a_grof_to_work_late
49,a_grof_to_listen_to_light_music_while_working
50,a_groupa_to_watch_a_Disney_animation
51,a_grof_to_make_a_plan_for_my_tasks
52,a_groupa_to_study
53,a_grof_to_manage_the_administrative_work
54,a_groe_to_visit_the_dentist
55,a_groupa_to_watch_Netflix
56,a_groupa_to_read/reply_to_my_emails
57,a_groupa_to_listen_to_music
58,a_grof_to_stay_alone
59,a_grof_to_read_a_book
60,a_groupc_to_dance
61,a_groe_to_work_on_an_article
62,a_groupb_to_have_work-related_meetings
63,a_grof_to_go_for_a_short_walk
64,a_grod_to_watch_Netflix_with_the_family
65,a_grof_to_work_from_the_office
66,a_groe_to_watch_Netflix_alone
67,a_groupb_to_cook/bake
68,a_groe_to_work
69,a_grof_to_talk_to_friends
